candidate_id,ref_path,ours_path,bytes_identical,max_abs_diff,frac_pixels_differ,ref_bytes,ours_bytes,note
J18918368+6235757,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J18918368+6235757.jpg,golden/stamps/J18918368+6235757/J18918368+6235757_v1.jpg,False,,,0,0,no reference
J21026355+287185,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J21026355+287185.jpg,golden/stamps/J21026355+287185/J21026355+287185_v1.jpg,False,,,0,0,no reference
J2104758+067717,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J2104758+067717.jpg,golden/stamps/J2104758+067717/J2104758+067717_v1.jpg,True,0.0,0.0,116646,116646,
J9192602-4479623,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J9192602-4479623.jpg,golden/stamps/J9192602-4479623/J9192602-4479623_v1.jpg,True,0.0,0.0,109900,109900,
J20960149-304690,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J20960149-304690.jpg,golden/stamps/J20960149-304690/J20960149-304690_v1.jpg,True,0.0,0.0,87859,87859,
J14977486+224978,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14977486+224978.jpg,golden/stamps/J14977486+224978/J14977486+224978_v1.jpg,True,0.0,0.0,141307,141307,
J20865088+7724666,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J20865088+7724666.jpg,golden/stamps/J20865088+7724666/J20865088+7724666_v1.jpg,True,0.0,0.0,94561,94561,
J18908112+6221462,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J18908112+6221462.jpg,golden/stamps/J18908112+6221462/J18908112+6221462_v1.jpg,False,,,0,0,no reference
J6403185-2403539,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J6403185-2403539.jpg,golden/stamps/J6403185-2403539/J6403185-2403539_v1.jpg,False,,,0,0,no reference
J15032484+248405,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15032484+248405.jpg,golden/stamps/J15032484+248405/J15032484+248405_v1.jpg,True,0.0,0.0,97768,97768,
J6439169-1191885,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J6439169-1191885.jpg,golden/stamps/J6439169-1191885/J6439169-1191885_v1.jpg,True,0.0,0.0,119600,119600,
J16440195+5798696,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J16440195+5798696.jpg,golden/stamps/J16440195+5798696/J16440195+5798696_v1.jpg,False,,,0,0,no reference
J8570140-2144889,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J8570140-2144889.jpg,golden/stamps/J8570140-2144889/J8570140-2144889_v1.jpg,True,0.0,0.0,136768,136768,
J21483295+5282544,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J21483295+5282544.jpg,golden/stamps/J21483295+5282544/J21483295+5282544_v1.jpg,True,0.0,0.0,126486,126486,
J15424410+3903685,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15424410+3903685.jpg,golden/stamps/J15424410+3903685/J15424410+3903685_v1.jpg,True,0.0,0.0,104917,104917,
J34710108-218831,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J34710108-218831.jpg,golden/stamps/J34710108-218831/J34710108-218831_v1.jpg,False,,,0,0,no reference
J21513251+5297278,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J21513251+5297278.jpg,golden/stamps/J21513251+5297278/J21513251+5297278_v1.jpg,False,,,0,0,no reference
J35128930-4120369,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J35128930-4120369.jpg,golden/stamps/J35128930-4120369/J35128930-4120369_v1.jpg,False,,,0,0,no reference
J14997467+255549,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14997467+255549.jpg,golden/stamps/J14997467+255549/J14997467+255549_v1.jpg,False,,,0,0,no reference
J1637643+1340558,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J1637643+1340558.jpg,golden/stamps/J1637643+1340558/J1637643+1340558_v1.jpg,True,0.0,0.0,101012,101012,
J12411163+1923209,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J12411163+1923209.jpg,golden/stamps/J12411163+1923209/J12411163+1923209_v1.jpg,True,0.0,0.0,80285,80285,
J26831233+6515810,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J26831233+6515810.jpg,golden/stamps/J26831233+6515810/J26831233+6515810_v1.jpg,True,0.0,0.0,122592,122592,
J17772978-2808033,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J17772978-2808033.jpg,golden/stamps/J17772978-2808033/J17772978-2808033_v1.jpg,True,0.0,0.0,93652,93652,
J16305610+3001292,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J16305610+3001292.jpg,golden/stamps/J16305610+3001292/J16305610+3001292_v1.jpg,True,0.0,0.0,152099,152099,
J16897851+148442,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J16897851+148442.jpg,golden/stamps/J16897851+148442/J16897851+148442_v1.jpg,False,,,0,0,no reference
J18030075+2309921,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J18030075+2309921.jpg,golden/stamps/J18030075+2309921/J18030075+2309921_v1.jpg,True,0.0,0.0,80465,80465,
J19047436+1159098,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J19047436+1159098.jpg,golden/stamps/J19047436+1159098/J19047436+1159098_v1.jpg,False,,,0,0,no reference
J15033701+227952,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15033701+227952.jpg,golden/stamps/J15033701+227952/J15033701+227952_v1.jpg,False,,,0,0,no reference
J26876212+6510625,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J26876212+6510625.jpg,golden/stamps/J26876212+6510625/J26876212+6510625_v1.jpg,True,0.0,0.0,142135,142135,
J18931633+6219972,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J18931633+6219972.jpg,golden/stamps/J18931633+6219972/J18931633+6219972_v1.jpg,True,0.0,0.0,82000,82000,
J15039056+235982,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15039056+235982.jpg,golden/stamps/J15039056+235982/J15039056+235982_v1.jpg,False,,,0,0,no reference
J15071855+269043,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15071855+269043.jpg,golden/stamps/J15071855+269043/J15071855+269043_v1.jpg,False,,,0,0,no reference
J3996375-158105,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J3996375-158105.jpg,golden/stamps/J3996375-158105/J3996375-158105_v1.jpg,False,,,0,0,no reference
J34708269-218827,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J34708269-218827.jpg,golden/stamps/J34708269-218827/J34708269-218827_v1.jpg,False,,,0,0,no reference
J15069997+222588,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15069997+222588.jpg,golden/stamps/J15069997+222588/J15069997+222588_v1.jpg,True,0.0,0.0,171006,171006,
J2238085-7354339,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J2238085-7354339.jpg,golden/stamps/J2238085-7354339/J2238085-7354339_v1.jpg,False,,,0,0,no reference
J15194704+2123478,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15194704+2123478.jpg,golden/stamps/J15194704+2123478/J15194704+2123478_v1.jpg,False,,,0,0,no reference
J33389992-3276033,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J33389992-3276033.jpg,golden/stamps/J33389992-3276033/J33389992-3276033_v1.jpg,True,0.0,0.0,101405,101405,
J3807110-4434755,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J3807110-4434755.jpg,golden/stamps/J3807110-4434755/J3807110-4434755_v1.jpg,True,0.0,0.0,89162,89162,
J30795372-4063256,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J30795372-4063256.jpg,golden/stamps/J30795372-4063256/J30795372-4063256_v1.jpg,False,,,0,0,no reference
J11068178-7349847,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J11068178-7349847.jpg,golden/stamps/J11068178-7349847/J11068178-7349847_v1.jpg,False,,,0,0,no reference
J2994382-883235,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J2994382-883235.jpg,golden/stamps/J2994382-883235/J2994382-883235_v1.jpg,False,,,0,0,no reference
J803198+1811354,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J803198+1811354.jpg,golden/stamps/J803198+1811354/J803198+1811354_v1.jpg,False,,,0,0,no reference
J4205283+264369,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J4205283+264369.jpg,golden/stamps/J4205283+264369/J4205283+264369_v1.jpg,True,0.0,0.0,78221,78221,
J15010748+230270,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15010748+230270.jpg,golden/stamps/J15010748+230270/J15010748+230270_v1.jpg,True,0.0,0.0,89611,89611,
J15067092+210603,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15067092+210603.jpg,golden/stamps/J15067092+210603/J15067092+210603_v1.jpg,True,0.0,0.0,108184,108184,
J15055009+250185,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15055009+250185.jpg,golden/stamps/J15055009+250185/J15055009+250185_v1.jpg,True,0.0,0.0,149868,149868,
J20948181-1096952,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J20948181-1096952.jpg,golden/stamps/J20948181-1096952/J20948181-1096952_v1.jpg,True,0.0,0.0,113497,113497,
J8730424-6207661,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J8730424-6207661.jpg,golden/stamps/J8730424-6207661/J8730424-6207661_v1.jpg,False,,,0,0,no reference
J15263251-1268419,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15263251-1268419.jpg,golden/stamps/J15263251-1268419/J15263251-1268419_v1.jpg,False,,,0,0,no reference
J15049363+206401,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15049363+206401.jpg,golden/stamps/J15049363+206401/J15049363+206401_v1.jpg,True,0.0,0.0,91890,91890,
J15261689-1266966,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15261689-1266966.jpg,golden/stamps/J15261689-1266966/J15261689-1266966_v1.jpg,True,0.0,0.0,115103,115103,
J6403415-2406677,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J6403415-2406677.jpg,golden/stamps/J6403415-2406677/J6403415-2406677_v1.jpg,True,0.0,0.0,91037,91037,
J5282421-774282,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J5282421-774282.jpg,golden/stamps/J5282421-774282/J5282421-774282_v1.jpg,True,0.0,0.0,116882,116882,
J8732838-6207334,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J8732838-6207334.jpg,golden/stamps/J8732838-6207334/J8732838-6207334_v1.jpg,True,0.0,0.0,97776,97776,
J15018209+211340,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15018209+211340.jpg,golden/stamps/J15018209+211340/J15018209+211340_v1.jpg,False,,,0,0,no reference
J14995729+243834,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14995729+243834.jpg,golden/stamps/J14995729+243834/J14995729+243834_v1.jpg,True,0.0,0.0,141643,141643,
J3996679-159719,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J3996679-159719.jpg,golden/stamps/J3996679-159719/J3996679-159719_v1.jpg,True,0.0,0.0,122705,122705,
J18031302+2310412,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J18031302+2310412.jpg,golden/stamps/J18031302+2310412/J18031302+2310412_v1.jpg,False,,,0,0,no reference
J21518078+5278672,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J21518078+5278672.jpg,golden/stamps/J21518078+5278672/J21518078+5278672_v1.jpg,True,0.0,0.0,123160,123160,
J9002960-2014057,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J9002960-2014057.jpg,golden/stamps/J9002960-2014057/J9002960-2014057_v1.jpg,True,0.0,0.0,122517,122517,
J32840780+1769774,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J32840780+1769774.jpg,golden/stamps/J32840780+1769774/J32840780+1769774_v1.jpg,True,0.0,0.0,98400,98400,
J16644236-1024898,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J16644236-1024898.jpg,golden/stamps/J16644236-1024898/J16644236-1024898_v1.jpg,True,0.0,0.0,89136,89136,
J15048493+226744,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15048493+226744.jpg,golden/stamps/J15048493+226744/J15048493+226744_v1.jpg,False,,,0,0,no reference
J5186322-1343964,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J5186322-1343964.jpg,golden/stamps/J5186322-1343964/J5186322-1343964_v1.jpg,False,,,0,0,no reference
J34084513-960342,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J34084513-960342.jpg,golden/stamps/J34084513-960342/J34084513-960342_v1.jpg,True,0.0,0.0,106592,106592,
J11084396-7342226,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J11084396-7342226.jpg,golden/stamps/J11084396-7342226/J11084396-7342226_v1.jpg,True,0.0,0.0,99652,99652,
J17769198-2805240,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J17769198-2805240.jpg,golden/stamps/J17769198-2805240/J17769198-2805240_v1.jpg,False,,,0,0,no reference
J14991871+254823,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14991871+254823.jpg,golden/stamps/J14991871+254823/J14991871+254823_v1.jpg,False,,,0,0,no reference
J14980160+213082,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14980160+213082.jpg,golden/stamps/J14980160+213082/J14980160+213082_v1.jpg,False,,,0,0,no reference
J14991319+251221,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14991319+251221.jpg,golden/stamps/J14991319+251221/J14991319+251221_v1.jpg,False,,,0,0,no reference
J14987954+204155,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14987954+204155.jpg,golden/stamps/J14987954+204155/J14987954+204155_v1.jpg,False,,,0,0,no reference
J18534294+1156810,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J18534294+1156810.jpg,golden/stamps/J18534294+1156810/J18534294+1156810_v1.jpg,False,,,0,0,no reference
J9003772-2015513,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J9003772-2015513.jpg,golden/stamps/J9003772-2015513/J9003772-2015513_v1.jpg,True,0.0,0.0,118217,118217,
J14993798+260626,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14993798+260626.jpg,golden/stamps/J14993798+260626/J14993798+260626_v1.jpg,False,,,0,0,no reference
J20148881+4807960,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J20148881+4807960.jpg,golden/stamps/J20148881+4807960/J20148881+4807960_v1.jpg,False,,,0,0,no reference
J6928514+070232,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J6928514+070232.jpg,golden/stamps/J6928514+070232/J6928514+070232_v1.jpg,True,0.0,0.0,78435,78435,
J3807769-4433463,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J3807769-4433463.jpg,golden/stamps/J3807769-4433463/J3807769-4433463_v1.jpg,False,,,0,0,no reference
J35128272-4120137,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J35128272-4120137.jpg,golden/stamps/J35128272-4120137/J35128272-4120137_v1.jpg,True,0.0,0.0,145423,145423,
J18939200+6216064,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J18939200+6216064.jpg,golden/stamps/J18939200+6216064/J18939200+6216064_v1.jpg,True,0.0,0.0,110095,110095,
J2995977-883239,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J2995977-883239.jpg,golden/stamps/J2995977-883239/J2995977-883239_v1.jpg,False,,,0,0,no reference
J8999381-2012203,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J8999381-2012203.jpg,golden/stamps/J8999381-2012203/J8999381-2012203_v1.jpg,True,0.0,0.0,122028,122028,
J32232919-763201,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J32232919-763201.jpg,golden/stamps/J32232919-763201/J32232919-763201_v1.jpg,True,0.0,0.0,118935,118935,
J15067319+221999,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15067319+221999.jpg,golden/stamps/J15067319+221999/J15067319+221999_v1.jpg,True,0.0,0.0,121058,121058,
J10939809+3775146,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J10939809+3775146.jpg,golden/stamps/J10939809+3775146/J10939809+3775146_v1.jpg,False,,,0,0,no reference
J33372744-1401097,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J33372744-1401097.jpg,golden/stamps/J33372744-1401097/J33372744-1401097_v1.jpg,True,0.0,0.0,111733,111733,
J30798663-4063616,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J30798663-4063616.jpg,golden/stamps/J30798663-4063616/J30798663-4063616_v1.jpg,False,,,0,0,no reference
J17740281+2243662,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J17740281+2243662.jpg,golden/stamps/J17740281+2243662/J17740281+2243662_v1.jpg,False,,,0,0,no reference
J1747804-3079539,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J1747804-3079539.jpg,golden/stamps/J1747804-3079539/J1747804-3079539_v1.jpg,True,0.0,0.0,120229,120229,
J15004059+241551,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15004059+241551.jpg,golden/stamps/J15004059+241551/J15004059+241551_v1.jpg,False,,,0,0,no reference
J34707505-219476,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J34707505-219476.jpg,golden/stamps/J34707505-219476/J34707505-219476_v1.jpg,True,0.0,0.0,102160,102160,
J14920654+6969086,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14920654+6969086.jpg,golden/stamps/J14920654+6969086/J14920654+6969086_v1.jpg,True,0.0,0.0,143718,143718,
J15199556+2122210,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15199556+2122210.jpg,golden/stamps/J15199556+2122210/J15199556+2122210_v1.jpg,True,0.0,0.0,92861,92861,
J357894-3039410,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J357894-3039410.jpg,golden/stamps/J357894-3039410/J357894-3039410_v1.jpg,False,,,0,0,no reference
J4429240-2347200,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J4429240-2347200.jpg,golden/stamps/J4429240-2347200/J4429240-2347200_v1.jpg,True,0.0,0.0,113951,113951,
J4312165-2100739,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J4312165-2100739.jpg,golden/stamps/J4312165-2100739/J4312165-2100739_v1.jpg,True,0.0,0.0,104747,104747,
J15037549+237083,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15037549+237083.jpg,golden/stamps/J15037549+237083/J15037549+237083_v1.jpg,False,,,0,0,no reference
J21007480+1455269,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J21007480+1455269.jpg,golden/stamps/J21007480+1455269/J21007480+1455269_v1.jpg,True,0.0,0.0,93766,93766,
J22963308-8151071,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J22963308-8151071.jpg,golden/stamps/J22963308-8151071/J22963308-8151071_v1.jpg,False,,,0,0,no reference
J15009907+202286,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15009907+202286.jpg,golden/stamps/J15009907+202286/J15009907+202286_v1.jpg,True,0.0,0.0,120433,120433,
J15263530-1266462,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15263530-1266462.jpg,golden/stamps/J15263530-1266462/J15263530-1266462_v1.jpg,False,,,0,0,no reference
J4202043-352281,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J4202043-352281.jpg,golden/stamps/J4202043-352281/J4202043-352281_v1.jpg,False,,,0,0,no reference
J3419795-502846,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J3419795-502846.jpg,golden/stamps/J3419795-502846/J3419795-502846_v1.jpg,True,0.0,0.0,138511,138511,
J5186803-1343778,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J5186803-1343778.jpg,golden/stamps/J5186803-1343778/J5186803-1343778_v1.jpg,True,0.0,0.0,101804,101804,
J12391133+1822895,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J12391133+1822895.jpg,golden/stamps/J12391133+1822895/J12391133+1822895_v1.jpg,True,0.0,0.0,103473,103473,
J15037005+241731,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15037005+241731.jpg,golden/stamps/J15037005+241731/J15037005+241731_v1.jpg,False,,,0,0,no reference
J15021825+181565,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15021825+181565.jpg,golden/stamps/J15021825+181565/J15021825+181565_v1.jpg,False,,,0,0,no reference
J357850-3044809,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J357850-3044809.jpg,golden/stamps/J357850-3044809/J357850-3044809_v1.jpg,True,0.0,0.0,99624,99624,
J19449788+4704593,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J19449788+4704593.jpg,golden/stamps/J19449788+4704593/J19449788+4704593_v1.jpg,False,,,0,0,no reference
J26842354+6529667,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J26842354+6529667.jpg,golden/stamps/J26842354+6529667/J26842354+6529667_v1.jpg,False,,,0,0,no reference
J15114238+4121210,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15114238+4121210.jpg,golden/stamps/J15114238+4121210/J15114238+4121210_v1.jpg,False,,,0,0,no reference
J8575205-2143155,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J8575205-2143155.jpg,golden/stamps/J8575205-2143155/J8575205-2143155_v1.jpg,True,0.0,0.0,149713,149713,
J4006002-161474,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J4006002-161474.jpg,golden/stamps/J4006002-161474/J4006002-161474_v1.jpg,True,0.0,0.0,93732,93732,
J2434723-845791,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J2434723-845791.jpg,golden/stamps/J2434723-845791/J2434723-845791_v1.jpg,False,,,0,0,no reference
J35084320-3043955,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J35084320-3043955.jpg,golden/stamps/J35084320-3043955/J35084320-3043955_v1.jpg,True,0.0,0.0,78404,78404,
J15428066+3906060,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15428066+3906060.jpg,golden/stamps/J15428066+3906060/J15428066+3906060_v1.jpg,False,,,0,0,no reference
J14997313+250891,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14997313+250891.jpg,golden/stamps/J14997313+250891/J14997313+250891_v1.jpg,False,,,0,0,no reference
J15004969+221715,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15004969+221715.jpg,golden/stamps/J15004969+221715/J15004969+221715_v1.jpg,False,,,0,0,no reference
J15032014+201142,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15032014+201142.jpg,golden/stamps/J15032014+201142/J15032014+201142_v1.jpg,False,,,0,0,no reference
J20861957+7726170,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J20861957+7726170.jpg,golden/stamps/J20861957+7726170/J20861957+7726170_v1.jpg,True,0.0,0.0,116460,116460,
J16456132+2953030,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J16456132+2953030.jpg,golden/stamps/J16456132+2953030/J16456132+2953030_v1.jpg,True,0.0,0.0,115860,115860,
J3440482-522486,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J3440482-522486.jpg,golden/stamps/J3440482-522486/J3440482-522486_v1.jpg,True,0.0,0.0,117160,117160,
J18850875+1133833,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J18850875+1133833.jpg,golden/stamps/J18850875+1133833/J18850875+1133833_v1.jpg,True,0.0,0.0,118214,118214,
J15005258+233772,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15005258+233772.jpg,golden/stamps/J15005258+233772/J15005258+233772_v1.jpg,False,,,0,0,no reference
J15017971+211039,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15017971+211039.jpg,golden/stamps/J15017971+211039/J15017971+211039_v1.jpg,False,,,0,0,no reference
J26828794+6516364,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J26828794+6516364.jpg,golden/stamps/J26828794+6516364/J26828794+6516364_v1.jpg,False,,,0,0,no reference
J3996588-153959,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J3996588-153959.jpg,golden/stamps/J3996588-153959/J3996588-153959_v1.jpg,False,,,0,0,no reference
