unit_id,candidate_id,split,kit_ids,n_passes,grade_letter,render_version,render_sha,leak,exposed_runs,in_fewshot,in_sft
u0015,J15009505+230050,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0016,J34218891-4454040,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0017,J18918368+6235757,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0018,J21026355+287185,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0019,J2104758+067717,,,,,jwst_v1,,no,scrambled100_blind,,
u0020,J9192602-4479623,,,,,jwst_v1,,no,scrambled100_blind,,
u0021,J20960149-304690,,,,,jwst_v1,,no,scrambled100_blind,,
u0022,J14977486+224978,,,,,jwst_v1,,no,scrambled100_blind,,
u0023,J20865088+7724666,,,,,jwst_v1,,no,scrambled100_blind,,
u0024,J18908112+6221462,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0025,J6403185-2403539,,,,,jwst_v1,,desi_train,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0026,J15032484+248405,,,,,jwst_v1,,no,scrambled100_blind,,
u0027,J6439169-1191885,,,,,jwst_v1,,no,scrambled100_blind,,
u0028,J16440195+5798696,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0029,J8570140-2144889,,,,,jwst_v1,,no,scrambled100_blind,,
u0030,J21483295+5282544,,,,,jwst_v1,,no,scrambled100_blind,,
u0031,J15424410+3903685,,,,,jwst_v1,,no,scrambled100_blind,,
u0032,J34710108-218831,,,,,jwst_v1,,desi_train,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0033,J21513251+5297278,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2,,
u0034,J35128930-4120369,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0035,J14997467+255549,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0036,J1637643+1340558,,,,,jwst_v1,,no,scrambled100_blind,,
u0037,J12411163+1923209,,,,,jwst_v1,,no,scrambled100_blind,,
u0038,J26831233+6515810,,,,,jwst_v1,,no,scrambled100_blind,,
u0039,J17772978-2808033,,,,,jwst_v1,,no,scrambled100_blind,,
u0040,J16305610+3001292,,,,,jwst_v1,,no,scrambled100_blind,,
u0041,J16897851+148442,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0042,J18030075+2309921,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|scrambled100_blind,,
u0043,J19047436+1159098,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0044,J15033701+227952,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2,,
u0045,J26876212+6510625,,,,,jwst_v1,,no,scrambled100_blind,,
u0046,J18931633+6219972,,,,,jwst_v1,,no,scrambled100_blind,,
u0047,J15039056+235982,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0048,J15071855+269043,,,,,jwst_v1,,no,,,
u0049,J3996375-158105,,,,,jwst_v1,,no,,,
u0050,J34708269-218827,,,,,jwst_v1,,desi_train,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0051,J15069997+222588,,,,,jwst_v1,,no,scrambled100_blind,,
u0052,J2238085-7354339,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0053,J15194704+2123478,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0054,J33389992-3276033,,,,,jwst_v1,,no,scrambled100_blind,,
u0055,J3807110-4434755,,,,,jwst_v1,,no,scrambled100_blind,,
u0056,J30795372-4063256,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0057,J11068178-7349847,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0058,J2994382-883235,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0059,J803198+1811354,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2,,
u0060,J4205283+264369,,,,,jwst_v1,,no,scrambled100_blind,,
u0061,J15010748+230270,,,,,jwst_v1,,no,scrambled100_blind,,
u0062,J15067092+210603,,,,,jwst_v1,,no,scrambled100_blind,,
u0063,J15055009+250185,,,,,jwst_v1,,no,scrambled100_blind,,
u0064,J20948181-1096952,,,,,jwst_v1,,no,scrambled100_blind,,
u0065,J8730424-6207661,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0066,J15263251-1268419,,,,,jwst_v1,,no,,,
u0067,J15049363+206401,,,,,jwst_v1,,no,scrambled100_blind,,
u0068,J15261689-1266966,,,,,jwst_v1,,no,scrambled100_blind,,
u0069,J6403415-2406677,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|scrambled100_blind|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0070,J5282421-774282,,,,,jwst_v1,,no,scrambled100_blind,,
u0071,J8732838-6207334,,,,,jwst_v1,,no,scrambled100_blind,,
u0072,J15018209+211340,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0073,J14995729+243834,,,,,jwst_v1,,no,scrambled100_blind,,
u0074,J3996679-159719,,,,,jwst_v1,,desi_train,scrambled100_blind,,
u0075,J18031302+2310412,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0076,J21518078+5278672,,,,,jwst_v1,,no,scrambled100_blind,,
u0077,J9002960-2014057,,,,,jwst_v1,,no,scrambled100_blind,,
u0078,J32840780+1769774,,,,,jwst_v1,,no,scrambled100_blind,,
u0079,J16644236-1024898,,,,,jwst_v1,,no,scrambled100_blind,,
u0080,J15048493+226744,,,,,jwst_v1,,no,,,
u0081,J5186322-1343964,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2,,
u0082,J34084513-960342,,,,,jwst_v1,,no,scrambled100_blind,,
u0083,J11084396-7342226,,,,,jwst_v1,,no,scrambled100_blind,,
u0084,J17769198-2805240,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0085,J14991871+254823,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0086,J14980160+213082,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0087,J14991319+251221,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2,,
u0088,J14987954+204155,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0089,J18534294+1156810,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0090,J9003772-2015513,,,,,jwst_v1,,no,scrambled100_blind,,
u0091,J14993798+260626,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0092,J20148881+4807960,,,,,jwst_v1,,no,,,
u0093,J6928514+070232,,,,,jwst_v1,,no,scrambled100_blind,,
u0094,J3807769-4433463,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0095,J35128272-4120137,,,,,jwst_v1,,no,scrambled100_blind,,
u0096,J18939200+6216064,,,,,jwst_v1,,no,scrambled100_blind,,
u0097,J2995977-883239,,,,,jwst_v1,,no,,,
u0098,J8999381-2012203,,,,,jwst_v1,,no,scrambled100_blind,,
u0099,J32232919-763201,,,,,jwst_v1,,no,scrambled100_blind,,
u0100,J15067319+221999,,,,,jwst_v1,,no,scrambled100_blind,,
u0101,J10939809+3775146,,,,,jwst_v1,,desi_train,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0102,J33372744-1401097,,,,,jwst_v1,,no,scrambled100_blind,,
u0103,J30798663-4063616,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0104,J17740281+2243662,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0105,J1747804-3079539,,,,,jwst_v1,,no,scrambled100_blind,,
u0106,J15004059+241551,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0107,J34707505-219476,,,,,jwst_v1,,desi_train,scrambled100_blind,,
u0108,J14920654+6969086,,,,,jwst_v1,,no,scrambled100_blind,,
u0109,J15199556+2122210,,,,,jwst_v1,,no,scrambled100_blind,,
u0110,J357894-3039410,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0111,J4429240-2347200,,,,,jwst_v1,,no,scrambled100_blind,,
u0112,J4312165-2100739,,,,,jwst_v1,,no,scrambled100_blind,,
u0113,J15037549+237083,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0114,J21007480+1455269,,,,,jwst_v1,,no,scrambled100_blind,,
u0115,J22963308-8151071,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0116,J15009907+202286,,,,,jwst_v1,,no,scrambled100_blind,,
u0117,J15263530-1266462,,,,,jwst_v1,,no,,,
u0118,J4202043-352281,,,,,jwst_v1,,desi_train,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0119,J3419795-502846,,,,,jwst_v1,,no,scrambled100_blind,,
u0120,J5186803-1343778,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|scrambled100_blind,,
u0121,J12391133+1822895,,,,,jwst_v1,,no,scrambled100_blind,,
u0122,J15037005+241731,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0123,J15021825+181565,,,,,jwst_v1,,no,integration_check_20260823|truth_a1_sonnet_design_r1|truth_a0_sonnet_design_r1|truth_a2_sonnet_design_r1|truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0124,J357850-3044809,,,,,jwst_v1,,no,scrambled100_blind,,
u0125,J19449788+4704593,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0126,J26842354+6529667,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0127,J15114238+4121210,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2,,
u0128,J8575205-2143155,,,,,jwst_v1,,no,scrambled100_blind,,
u0129,J4006002-161474,,,,,jwst_v1,,no,scrambled100_blind,,
u0130,J2434723-845791,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0131,J35084320-3043955,,,,,jwst_v1,,no,scrambled100_blind,,
u0132,J15428066+3906060,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0133,J14997313+250891,,,,,jwst_v1,,no,,,
u0134,J15004969+221715,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2,,
u0135,J15032014+201142,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0136,J20861957+7726170,,,,,jwst_v1,,no,scrambled100_blind,,
u0137,J16456132+2953030,,,,,jwst_v1,,no,scrambled100_blind,,
u0138,J3440482-522486,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2|scrambled100_blind,,
u0139,J18850875+1133833,,,,,jwst_v1,,no,scrambled100_blind,,
u0140,J15005258+233772,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0141,J15017971+211039,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
