rank,candidate_id,original_grade,original_n_pass,original_inspector_conf,blind_theta_E_arcsec,discovery_status,our_S,our_S_arb,our_letter,our_letter_llm,our_p_evidence,our_scale_class,our_alternative_final,our_needs_human,agree_letter,our_letter_rank,our_letter_final,our_veto,our_rule,agree_final,our_rationale
7,J18030075+2309921,B,2,55.0,4.0,new,0.14990625000000002,0.19743750000000004,C,C,0.45,group,companion_projection,True,False,A,A,,R2,False,"What survives is a single feature: the thin bright ridge on the western (right-hand) side of panels (a)/(b), which in the circular-subtracted 10"" panel (c) stands out as an offset, coreless, knotty filament curving concave toward the ticks at roughly constant radius r~4.0-5.0"" over PA~250-315 - it is not the central bowtie/ripple artefact, it is traceable in both un-subtracted 10"" panels, and it holds no fixed position angle so it is neither a spike nor a frame edge (the artifact critic found no reduction-artefact match and named no alternative). Everything else that made the case for lensing has fallen: the r=1.3"" ENE source in the 3.5"" zoom is a stellar, nucleus-like peak sharing a continuous envelope with the ticked galaxy and has no counterpart at PA~249, and the SE object at r~4.6"" is a resolved galaxy with its own bright core and a plume whose major axis is ~45 deg from the local tangent - so the putative counter-image and inner knot are a close pair and a group member, not multiple images. That leaves one arc-like feature with no counter-arc, on a deflector that is itself an interacting pair whose asymmetric tidal envelope reaches out to roughly that radius; the ridge's thinness and near-constant radius keep lensing alive, but a tidal shell/plume edge is equally consistent with these pixels in a single band with no colour to compare stellar populations. That is a genuine ambiguity that deeper or multi-band imaging (or a reviewer tracing the ridge's surface-brightness profile against the host's) would settle, hence C and needs_human."
15,J20954380-1094330,C,1,45.0,3.6,new,0.12684375,0.315,C,C,0.45,group,companion_projection,True,True,A,A,,R2,False,"What survives is the orange, tangentially elongated pair in panel (c): a curved streak running over the N/NW flank at r~3.0-3.3"" (PA~295-355), concave toward the ticked core, and a second orange segment of the same hue and comparable surface brightness on the SE/S side at r~3.0"" (PA~105-160), roughly opposite across the white deflector whose core is distinctly bluer in the two-band colour. Both are present in the un-subtracted panels (a), (b) and (c), so the artifact critic is right that the panel-(f) hourglass and concentric ripples - the documented circular-profile artefact on an elliptical host - explain nothing here, and no spike, stripe or PSF wing from the bright SW streak reaches PA 295-355. The spiral-arm reading fails on the pixels: the 3.5"" zoom (d,e) is a featureless smooth spheroid with no inner arm continuation, and the residual bowtie is the signature of an ellipsoid, not a disc. What keeps this from being a B is the environment visible in the deep 10"" stretch: broad diffuse plumes wrap the whole envelope, a blue interloper sits at the NE corner, a bright elongated object cuts the SW corner, and the compact knot at PA~180, r~2.7"" carries its own tail toward that object - a tidal/shell or projected-debris origin for the same orange loops cannot be excluded at this depth, and the SE segment is patchy where a counter-arc should be smooth and matched in profile. Deeper or multi-band imaging (or a proper elliptical-model subtraction to test whether the two orange segments share a source colour and lie on a common curvature centre) would settle it."
14,J18030108+2309932,C,1,45.0,4.6,new,0.10954687500000002,0.19743750000000004,C,C,0.45,group,companion_projection,True,True,A,A,,R2,False,"The ticked object is not a relaxed deflector: panels (d) and (e) resolve two nuclei ~1.1"" apart inside a single boxy envelope that bulges SW, and the 10"" panels show further companions NE and SE, so any interpretation must contend with an ongoing merger in a group-scale envelope. Items 2 and 3 fall to that context - the brightenings on the western edge are resolved compact sources with their own haloes (a near-identical one sits at r~4.3"", PA~158 on the east side), and the SW patch is one of them, so the knot-chain argument does not carry weight. What survives is item 1: in panels (a), (b) and (c) alike there is a thin, sharp, coherently curved filament along the western field edge running from roughly PA 225 to PA 310 at r~3.6-4.5"", concave toward the pair, present in the un-subtracted deep stretch and therefore not a product of the circular 1-D subtraction. That is genuinely arc-like, but it is equally the classic appearance of a shell/plume flung along the merger axis defined by the secondary nucleus at PA~248, and it is thin, low-contrast and offers no confirmed counter-image: item 4 (r~2.6"", PA~97) appears only in the deflector-subtracted 10"" residual, exactly where the azimuthally-averaged model leaves lobes and a dipole on this off-centre, companion-blended galaxy, so it cannot be counted either way. With one real tangential feature, no counter-image in any direct panel, and a merger that supplies a competing origin, the evidence neither confirms nor refutes lensing; colour or deeper multi-band imaging (matching profiles between the western filament and any eastern counterpart) would settle it, which is why a human reviewer is warranted."
18,J4006002-161474,C,1,40.0,0.81,new,0.07500000000000001,0.15000000000000002,C,C,0.45,galaxy,merger,True,True,A,A,,R2,False,"What survives is a single feature: the thin, one-sided sliver about 1.0"" ESE of the tick centre in the deflector-subtracted zoom (f), concave toward the nucleus, brighter than the surrounding ~0.15""-spaced profile ripples, and matching a faint halo asymmetry on the same side in (d)/(e). Everything else is explained away: the fainter r~1.5"" clump is indistinguishable from the ringing that fills (f) (it appears in no direct panel), and the broad diffuse light at PA 60-120 is plainly the one-sided bridge to the disturbed companion 2.7"" east in (a)/(b)/(c), part of a chain of interacting group members with plumes to the NE - not a halo centred on the deflector. The surviving sliver is not enough for a lens: there is no counter-image anywhere at r~0.9-1.5"", PA 275-315 in (d) or (e) (the halo there looks smooth at this stretch), its curvature centre is offset ~0.25-0.3"" east of the nucleus, and it sits on the same side as, and roughly along, the tidal axis toward the companion, so tidal debris remains a live competitor for it. The tangential curvature and the fact that it exceeds the local ripple amplitude keep a lensed arc formally possible, hence C rather than D. A reviewer with a proper elliptical (or PSF-convolved Sersic) subtraction, or any third band, could decide immediately whether that sliver is a stream fragment or the visible half of an Einstein arc, so this is a genuine ambiguity worth human time."
39,J16305610+3001292,U,0,28.0,1.3,new,0.14945875000000003,0.14945875000000003,C,C,0.38,galaxy,companion_projection,True,False,B,B,,R2,False,"The only real evidence is the LW-bright (orange) material ~1.1-1.5"" N/NNE of the ticked nucleus: it is obvious in the colour zoom (e) and the 10"" colour panel (c), reappears as a bright offset irregular patch in the subtracted panel (f) well away from the central dipole/butterfly of the circular-profile model, and is faintly traceable in the deep panels (b)/(d). Against a lens: the patch is chunky rather than a thin fixed-radius arc (its width is comparable to its ~1.2"" radius in (f)), its outer edge merges into a spur that continues radially outward to r~2.3"" in the 10"" deep frame, and there is no counter-image - the S/SSW 'item 2' is only a smooth isophote bulge in (d) plus streaking-level noise in (b), which the artifact critic's upheld striping call removes entirely. Against a clean rejection: the two critics who both invoked companion_projection disagree by ~50 deg on the feature's own position angle (21 deg off tangential vs within 10 deg of radial), and the orange material in (c)/(e) does extend across the top of the core to the NNW rather than sitting as a single wedge, so a short tangential segment at PA~330-10 is not accounted for. Item 1 therefore survives in reduced form as an unresolved arc-versus-superposed-neighbour ambiguity: possible, not confirmed, and a reviewer with the pixel data (or an extra band / redshift for the NNE clump) could settle whether the NNE patch and the NNW band are one fixed-radius structure or a projected companion plus halo colour gradient."
9,J19789495-132348,B,2,32.0,2.7,known,0.24499999999999997,0.24499999999999997,B,C,0.35,galaxy,edge_on_disk,True,True,B,B,,R2,True,"The catalogued galaxy at the yellow ticks is a smooth, saturated envelope - panels (d) and (e) show a monotonic, featureless halo out to 1.75"" with no inner arc, ring or knot, and the checkerboard/butterfly in (f) is the expected circular-profile artefact and carries no weight. Everything rests on two thin low-surface-brightness streaks straddling the nucleus at r~2-3"" in the 10"" panels: the eastern one (left of the core, ~40-70 px east and a little south in (a)/(b), also faintly orange in (c)) and a comparable western one (right of the core in (a)/(b)). Both geometry and morphology critics independently measured the eastern feature's long axis at PA~130-135, i.e. within ~30 deg of the radius vector and ~60 deg from tangential, and it is compact and needle-like rather than curving about the tick centre; that upholds a projected edge-on/companion interloper and removes item 1. Item 2, the western streak, is left standing by both critics and is the only surviving evidence, but it too is elongated close to the radial direction and lies almost on the same line through the nucleus as item 1, which is at least as consistent with a single superposed needle or a tidal plume as with a counter-image; with no tangential curvature, no third image and nothing inside 1.75"", the evidence neither confirms nor refutes lensing, hence C. A reviewer with the full-resolution frame (or any second-epoch/multi-band data) could decide whether the two opposite streaks are one edge-on disc seen through the envelope, which would settle this to D."
10,J23069956+2559453,A,3,28.0,1.37,new,0.13474999999999998,0.189875,C,C,0.35,galaxy,companion_projection,True,False,B,B,,R2,False,"What survives is a single feature: in the 10"" deep panel (b) a thin low-surface-brightness filament wraps the south/south-east flank of the ticked galaxy from PA~110 round to ~215 at r~1.2-1.5"", concave toward the core, and the same flux reappears in the subtracted zoom (f) as a one-sided bright fan/wedge SE-S of the nucleus with nothing mirrored to the north - a one-sided offset feature, not the four-lobed butterfly or concentric ring the circular profile subtraction manufactures, so it is admissible and is also traceable in the un-subtracted (b)/(d). Against it: the feature is broad and merges into the halo rather than showing a thin, structured arc, the deep zoom (d) is saturated inside ~0.8"" so no inner counter-image can be checked, the artifact critic correctly finds no diffraction ray, striping (columnar N-S) or neighbour halo (r~3.6"", PA~121) that can make a constant-radius 105-deg feature, and the only candidate second image - the NE blob at r~1.7"", PA~44 - is round, at a ~25% discrepant radius, and is upheld as a projection, leaving the arc with no counter-image family. The sharp outer edge and the clumpy envelope in (c) keep a tidal-shell or outer-disc origin genuinely open, so the evidence neither confirms nor refutes lensing; a reviewer with a proper elliptical-model subtraction or multi-band colour on the SE filament would settle it."
36,J15055009+250185,U,0,28.0,,new,0.0384,0.0384,C,D,0.32,galaxy,other,False,False,B,B,,R2,False,"The catalogued galaxy at the yellow ticks resolves in the 3.5"" deep and normal zooms into a lumpy, irregular envelope: three to four compact peaks inside r<0.4"" (NE at PA~45, W/SW at PA~250, an E/SE chain at r~0.30-0.38""), every one of them round to within the PSF with no measurable tangential elongation, none of them lying on a common circle about the tick centre, and all of them connected to the nucleus by continuous emission that never drops to background between knot and core. The residual panel (f) reproduces exactly these peaks as offset points, which the artifact critic correctly shows are real (they are visible in un-subtracted (d) and (e)) but which the circular-profile subtraction has merely uncovered - the surrounding dark bowtie/ring structure there is a subtraction property and was never counted. The claimed knot pair straddles the nucleus at 205 deg rather than 180 deg and at unequal brightness, with no profile-matched counter-image anywhere; the faint SW blob at r~1.3"", PA~230 in (b)/(d) is diffuse, of a different surface-brightness class from the inner peaks, has no counterpart at PA~50, and lies outside the host envelope, so it is a projected patch. No thin tangential feature at fixed radius exists at any radius out to ~5"" in (a)/(b); the 2.5"" NW neighbour is an inclined disc, not an arc. Both alternatives are upheld and together they account for every located item, leaving nothing standing - a clumpy irregular/merging host, not a lens."
68,J17772978-2808033,U,0,26.0,2.46,new,0.11699999999999999,0.18,C,C,0.3,group,edge_on_disk,True,False,B,B,,R2,False,"The only located evidence is the single N-S sliver ~2.6"" due west of the yellow ticks, visible faintly in (a), clearly in (b) and bluish-white in (c); it lies outside the 3.5"" crops, so panels (d)/(e) show only a smooth, featureless spheroid and panel (f)'s bowtie/dipole is pure circular-model artefact and carries no weight either way. The artifact critic's instrument tests (no radial spike geometry, no 60/120-deg mirrors, not on the PSF-wing line to the NNW galaxy, present in every un-subtracted panel) correctly exclude a reduction origin, so the feature is sky. The morphology critic's shell/tidal rim is overruled: the sliver's blue colour, sharp edges and internal knot are inconsistent with a same-population shell of the red host's envelope. The geometry critic's edge-on/needle reading is upheld: at 0.031""/px an arc at this radius must show measurable tangential bow and thin-for-its-radius structure, and this feature is essentially straight, of constant width, thick for r=2.6"", with no counter-image on the eastern side (that quadrant is admittedly contaminated by the bright NE galaxy's halo). With the sole item accounted for by a plausible but not decisive alternative (refutation strength ~0.4) and no ring, no inner arc and no counter-image anywhere, the case is unresolved rather than clean either way, hence C; a reviewer measuring the sagitta and the eastern quadrant at full resolution would settle it."
100,J6928514+070232,U,0,25.0,2.24,new,0.05399999999999999,0.05399999999999999,C,D,0.3,galaxy,companion_projection,False,False,B,B,,R2,False,"The only located evidence is the eastern low-surface-brightness complex at r~1.6-2.3"", PA~95-145, visible in the direct panels (a), (b) and as an orange/tan smudge in (c); the artifact critic offered no instrumental alternative and I make no ruling there, but both geometry and morphology independently and consistently resolve that complex as a small clumpy projected neighbour, and the pixels support them: the blob is compact (~0.5-0.7"" across) with a knot chain elongated far from the local tangential direction at that position angle, it is not a thin feature at roughly constant radius, and at 0.031""/px an r~2"" arc would span ~65 px from the core and would plainly show tangential curvature and surface-brightness structure, which this does not. The mirrored annulus at PA~280-320, r~1.8-2.6"" in the deep panel (b) is smooth halo with no counter-arc or counter-image, and the 3.5"" zooms (d)/(e) show only untextured elliptical isophotes with no inner arc or radial counter-image. Panel (f) contributes nothing either way: it shows exactly the four-lobed bowtie plus concentric rings expected when a 1-D circular profile is removed from this clearly elongated host, an artefact of the subtraction and not sky. With both items accounted for by the upheld companion-projection alternative and nothing surviving, this is a non-lens; a further tan patch at r~4.5"", PA~44 at an incompatible radius reinforces that the field simply contains projected neighbours."
98,J1747804-3079539,U,0,25.0,0.82,new,0.041249999999999995,0.041249999999999995,C,D,0.3,galaxy,merger,False,False,B,B,,R2,False,"The catalogued galaxy at the yellow ticks is a disturbed, clumpy system whose bright body in (d)/(e) is elongated NNE-SSW; the two features the scorer cited sit at the two ends of that same major axis (r~0.9"", PA~20 and r~0.75"", PA~185), are compact and round with axis ratio near unity, and are bridged to the nucleus by continuous deep-stretch envelope light rather than separated from it by sky. Neither shows a trace of tangential stretch at fixed radius, and there is no arc anywhere to fit a centre of curvature to. The southern knot is unambiguously the bright NE head of the long straight needle that runs unbroken from ~0.7"" south of the ticks to the SW corner of the 10"" field at PA~207 - a classic edge-on disc / tidal streak whose radius grows steadily with distance, exactly the opposite of an arc at constant radius. The two strong positive lobes in (f) coincide pixel-for-pixel with these direct-image peaks and are flanked by the dark central bowtie that the circular-profile subtraction is expected to produce on an elongated deflector, so the residual adds nothing. With the merger/clumpy-host reading accounting for both items and the edge-on-disc reading independently accounting for the southern one, no item survives; this is a non-lens and no deeper data are needed to say so."
92,J2104758+067717,U,0,25.0,0.9,new,0.036000000000000004,0.063,C,D,0.3,none,companion_projection,False,False,B,B,,R2,False,"The ticked galaxy is a single smooth E-W elongated system whose light dominates the 3.5"" zoom; the two located features both lie on its southern minor-axis side, at PA~188-205 (r~0.45"", a hard, near-point blue dot visible in (a), (d) and (e)) and PA~172-192 (r~0.95"", a soft E-W elongated orange patch in (d)/(e) that becomes the bright one-sided blob in (f)). Nothing here is tangential at a fixed radius: the two features differ in radius by a factor 2.1, in surface-brightness profile (point vs diffuse), and in hue, and the deep zoom shows only smooth, featureless halo at the mirror positions PA~350-20 at both radii, so no counter-image or counter-arc exists; item 2 subtends only ~20 deg of azimuth with no measurable curvature about the tick centre. The artifact critic correctly finds no instrumental origin - both are present in the un-subtracted panels, neither lies on the four-lobed bowtie (PA~50/140/230/320) that the circular-profile subtraction imprints on this elongated galaxy, and (b) shows no seam, stripe, snowball or bright neighbour PSF - so the (f) blob is real sky but not lensed. The geometry critic's chance/embedded-projection reading accounts for both items and is upheld; the morphology clump reading independently covers the inner blue knot. With every located item accounted for and no arc, ring or counter-image anywhere in the frame, this is a D; no deeper data is needed to settle it."
